subject,predicate,object
Q2234243,P53_has_former_or_current_location,Q36167
Q2234243,P53_has_former_or_current_location,Q36399
Q36167,P53_has_former_or_current_location,Q36399
Q36399,P53_has_former_or_current_location,Q881
Q36399,P53_has_former_or_current_location,Q185682
Q881,P46_is_composed_of,Q43467
Q185682,P46_is_composed_of,Q179023
Q43467,P46_is_composed_of,Q48
Q933384,P14_carried_out_by,Q3339372
Q933384,P53_has_former_or_current_location,Q1854
Q1854,P53_has_former_or_current_location,Q881
Q1854,P46_is_composed_of,Q2289221
Q1854,P46_is_composed_of,Q881
Q5965459,P53_has_former_or_current_location,Q36160
Q36160,P53_has_former_or_current_location,Q33356
Q33356,P53_has_former_or_current_location,Q881
Q206219,P53_has_former_or_current_location,Q1858
Q1858,P46_is_composed_of,Q2428694
Q1858,P53_has_former_or_current_location,Q881
Q391406,P53_has_former_or_current_location,Q25282
Q25282,P53_has_former_or_current_location,Q881
Q25282,P46_is_composed_of,Q14316796
Q14316796,P46_is_composed_of,Q881
Q23513,P53_has_former_or_current_location,Q590734
Q23513,P53_has_former_or_current_location,Q2673199
Q23513,P46_is_composed_of,Q14316796
Q23513,P53_has_former_or_current_location,Q23533
Q590734,P53_has_former_or_current_location,Q23533
Q2673199,P53_has_former_or_current_location,Q23533
Q23533,P53_has_former_or_current_location,Q881
Q10841674,P53_has_former_or_current_location,Q1031051
Q1031051,P53_has_former_or_current_location,Q33396
Q33396,P53_has_former_or_current_location,Q881
