input_name,wikidata_id,canonical_name,aliases
Cố đô Huế,Q2234243,Cố đô Huế,Cố đô Huế
Dinh Độc Lập,Q933384,Dinh Độc Lập,Dinh Doc Lap|Dinh Thống Nhất|Dinh Tổng thống|Hội trường Thống Nhất|Phủ Đầu Rồng|Reunification Convention Palace
Phố cổ Hội An,Q5965459,Phố cổ Hội An,Hoi An Old Town|Thị xã Hội An|Đô thị cổ Hội An
Hoàng thành Thăng Long,Q206219,Hoàng thành Thăng Long,Hoàng thành Thăng Long|Imperial Citadel of Thang Long-Hanoi|Imperial Citadel of Thăng Long|Kinh thành|Thăng Long Imperial Citadel
Thánh địa Mỹ Sơn,Q391406,Thánh địa Mỹ Sơn,Monuments Čams De L'Annam|My Son Santuary|My Son sanctuary|Mỹ Sơn|Tháp Mỹ Sơn
Hang Pác Bó,Q7263979,Hang Pác Bó,Hang Pắc Bó|Khu di tích lịch sử cách mạng Pắc Bó|Pac Bo|Pác Bó|Pắc Bó
Vườn Quốc gia Phong Nha - Kẻ Bàng,Q23513,Vườn quốc gia Phong Nha - Kẻ Bàng,Ke Bang|Phong Nha|Phong Nha - Ke Bang National Park|Phong Nha - Kẻ Bàng|Phong Nha-Ke Bang|Phong Nha-Ke Bàng National Park|Phong Nha-Kẻ Bàng|Phong Nha-Kẻ Bàng National Park|Vườn Phong Nha|Vườn Quốc gia Phong Nha Kẻ Bàng|Vườn quốc gia Phong Nha|Vườn quốc gia Phong Nha-Kẻ Bàng|Động Phong Nha|Động Phong Nha-Kẻ Bàng
Đền Hùng,Q5964889,Đền Hùng,Giỗ tổ 10/3|Giỗ tổ Hùng Vương|Hung Temple|Hội Đền Hùng|Hội đền Hùng|Khu di tích lịch sử Đền Hùng|Lễ hội Đền Hùng|Lễ hội đền Hùng
Thành nhà Hồ,Q190060,Thành nhà Hồ,Citadel of Ho Dynasty|Thành Tây Giai|Thành Tây Đô
Vịnh Hạ Long,Q190128,Vịnh Hạ Long,Hạ Long|Vịnh hạ-long
Đền Cửa Ông,Q10841674,Đền Cửa Ông,
